timestamp,open,high,low,close,volume
2022-01-01T00:00:00Z,47000,47200,46800,47150,1200
2022-01-01T00:01:00Z,47150,47310,47020,47280,980
2022-01-01T00:02:00Z,47280,47400,47120,47190,1320
2022-01-01T00:03:00Z,47190,47220,46890,46980,1670
2022-01-01T00:04:00Z,46980,47110,46810,47050,1150
2022-01-01T00:05:00Z,47050,47600,47010,47520,2050
2022-01-01T00:06:00Z,47520,47840,47450,47790,2280
2022-01-01T00:07:00Z,47790,47900,47420,47510,1980
2022-01-01T00:08:00Z,47510,47620,47280,47300,1430
2022-01-01T00:09:00Z,47300,47480,47100,47220,1320
2022-01-01T00:10:00Z,47220,47300,46940,47010,1540
2022-01-01T00:11:00Z,47010,47120,46800,46920,1210
2022-01-01T00:12:00Z,46920,47000,46550,46620,2320
2022-01-01T00:13:00Z,46620,46890,46580,46840,1490
2022-01-01T00:14:00Z,46840,47050,46720,46980,1340
2022-01-01T00:15:00Z,46980,47140,46850,47090,1090
